iter	Passed	Remaining
964	4518	163
965	4522	159
966	4527	154
967	4531	149
968	4536	145
969	4540	140
970	4545	135
971	4549	131
972	4554	126
973	4558	121
974	4563	117
975	4567	112
976	4571	107
977	4576	102
978	4580	98
979	4585	93
980	4589	88
981	4594	84
982	4598	79
983	4603	74
984	4607	70
985	4611	65
986	4616	60
987	4620	56
988	4625	51
989	4629	46
990	4634	42
991	4638	37
992	4643	32
993	4647	28
994	4651	23
995	4656	18
996	4660	14
997	4665	9
998	4669	4
999	4674	0
